source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes
GS025,25,Open -set recognition in unknown DDoS attacks detection with reciprocal points learning,"CS Shieh, FA Ho, MF Horng, TT Nguyen…",2024,,https://ieeexplore.ieee.org/abstract/document/10497567/,journal-article,IEEE…,open set recognition in unknown ddos attacks detection with reciprocal points learning,,,,no_automatic_match,
GS026,27,A multi-agent adaptive deep learning framework for online intrusion detection,"M Soltani, K Khajavi, M Jafari Siavoshani, AH Jahangir",2024,10.1186/s42400-023-00199-0,https://link.springer.com/article/10.1186/s42400-023-00199-0,journal-article,Cybersecurity,a multi agent adaptive deep learning framework for online intrusion detection,,,,no_automatic_match,
GS027,28,Enhanced Adversarial Domain Adaptation for Intrusion Detection Systems,"I Guerziz, Z Abou El Houda…",2025,,https://ieeexplore.ieee.org/abstract/document/11257501/,journal-article,,enhanced adversarial domain adaptation for intrusion detection systems,,,,no_automatic_match,
GS028,29,A Semi-Supervised Meta-Negative-Learning Approach to Few-Shot Network Intrusion Detection in Internet of Things,"M Wu, Y Zheng, Y Yang, J Luo…",2026,10.1109/jiot.2026.3653672,https://ieeexplore.ieee.org/abstract/document/11348114/,journal-article,IEEE Internet of Things…,a semi supervised meta negative learning approach to few shot network intrusion detection in internet of things,,,,no_automatic_match,
GS029,30,Deep learning -based network intrusion detection systems: a systematic literature review,"LL Mutembei, MC Senekane, T van Zyl",2024,10.1007/978-3-031-78255-8_13,https://link.springer.com/chapter/10.1007/978-3-031-78255-8_13,book-chapter,Southern African Conference for…,deep learning based network intrusion detection systems a systematic literature review,,,,no_automatic_match,
GS030,31,Highly accurate anomaly based intrusion detection through integration of the local outlier factor and convolutional neural network,"R Rabih, H Vahdat-Nejad, W Mansoor, JH Joloudari",2025,10.1038/s41598-025-08175-z,https://www.nature.com/articles/s41598-025-08175-z,journal-article,Scientific Reports,highly accurate anomaly based intrusion detection through integration of the local outlier factor and convolutional neural network,,,,no_automatic_match,
GS031,32,Machine learning and deep learning techniques for internet of things network anomaly detection —current research trends,"SH Rafique, A Abdallah, NS Musa, T Murugan",2024,,https://www.mdpi.com/1424-8220/24/6/1968,journal-article,Sensors,machine learning and deep learning techniques for internet of things network anomaly detection current research trends,,,,no_automatic_match,
GS032,33,NIDS Neural Networks Using Sliding Time Window Data Processing with Trainable Activations and its Generalization Capability,"A Raskovalov, N Gabdullin, I Androsov",2024,10.48550/arXiv.2410.18658,https://arxiv.org/abs/2410.18658,posted-content,arXiv preprint arXiv:2410.18658,nids neural networks using sliding time window data processing with trainable activations and its generalization capability,,,,no_automatic_match,
GS033,34,Cross-Domain Adversarial Alignment for Network Anomaly Detection Through Behavioral Embedding Enrichment,"C Salvador-Najar, LJ Domínguez Pérez",2025,,https://www.mdpi.com/2073-431X/14/11/450,journal-article,Computers,cross domain adversarial alignment for network anomaly detection through behavioral embedding enrichment,,,,no_automatic_match,
GS034,35,An Evaluation of Open -Set Recognition-Enabled End-Layers on Deep -Learning Models in Network Intrusion Detection Systems,"G Baye, P Silva, A Broggi, L Fiondella…",2024,10.2139/ssrn.4933825,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4933825,posted-content,Available at SSRN…,an evaluation of open set recognition enabled end layers on deep learning models in network intrusion detection systems,DOI_DUP_020,TITLE_DUP_010,,candidate_duplicate,exact DOI candidate with CR036 | normalized-title candidate with CR036
